County,gas_prod,longitude,latitude,depth,elevation,well,status,field,geology
Erie,5455.0,-78.48139,42.93727,1294.0,851.0,gas development,plugged abandoned,Alden-Lancaster,Medina
Cayuga,4741.0,-76.66245,42.89157,1818.0,535.0,gas development,plugged abandoned,West Auburn,Queenston
Erie,28116.0,-78.92266,42.73046,1425.0,640.0,gas development,inactive,Orchard Park-Hamburg,Medina
Chautauqua,4226.0,-79.31271,42.26601,3450.0,1283.0,gas extension,plugged abandoned,Cassadaga Creek,Upper Devonian
Chautauqua,4966.0,-79.59416,42.04662,4500.0,1780.0,oil wildcat,active,Clymer,Bass Island
Erie,7509.0,-78.9469,42.70504,1450.0,698.0,gas development,inactive,Lakeview,Medina
Allegany,15334.0,-77.99038,42.18126,3737.0,1420.0,gas development,inactive,Gordon Brook,Oriskany
Allegany,7360.0,-78.00324,42.17257,3849.0,1505.0,gas development,inactive,Gordon Brook,Oriskany
Cayuga,26989.0,-76.66872,42.8806,1850.0,513.0,gas extension,inactive,West Auburn,Queenston
Allegany,24785.0,-78.04785,42.40488,4851.0,1760.0,gas development,inactive,Allen,Medina
Cayuga,26224.0,-76.631756,42.874836,2220.0,711.0,gas development,inactive,West Auburn,Queenston
Chautauqua,3635.0,-79.39551,42.18789,3927.0,1580.0,gas development,inactive,Lakeshore,Grimsby
Cattaraugus,5035.0,-79.01271,42.35481,3000.0,1291.0,oil wildcat,inactive,Lakeshore,Onondaga
Chautauqua,27724.0,-79.33562,42.47109,2069.0,640.0,gas development,inactive,Lakeshore,Medina
Chautauqua,21945.0,-79.30556,42.18775,4071.0,1670.0,gas development,inactive,Lakeshore,Medina
Cayuga,18220.0,-76.631054,42.870437,2260.0,720.0,gas development,plugged abandoned,West Auburn,Queenston
Chautauqua,10954.0,-79.31426,42.35655,3160.0,1319.0,gas development,plugged abandoned,Lakeshore,Medina
Chautauqua,6242.0,-79.21541,42.27561,2680.0,1775.0,gas development,inactive,Gerry-Charlotte,Medina
Chautauqua,9839.0,-79.28687,42.31677,3340.0,1358.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2533.0,-79.41875,42.26532,3540.0,1482.0,gas development,inactive,Lakeshore,Medina
Erie,22186.0,-78.832028,42.524403,3000.0,1360.0,gas development,shut in,North Collins,Medina
Chautauqua,25876.0,-79.29842,42.18762,4121.0,1677.0,gas development,inactive,Lakeshore,Grimsby
Erie,5736.0,-79.01992,42.62599,1869.0,727.9097744360902,gas development,inactive,Lakeview,Medina
Erie,6202.0,-78.79671,42.6822,2073.0,985.0,gas development,inactive,Brant-Eden,Akron
Erie,23635.0,-78.47776,42.97815,1128.0,895.0,gas development,plugged abandoned,Alden-Lancaster,Medina
