"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31013125100000","Chautauqua","PPP Future Development Inc.","12510","00","00","GD","Lakeshore","AC","Smallback NY 38","Cherry Creek","Medina","12","1834","0","","2010"
"31009076410000","Cattaraugus","Copper Ridge Oil, Inc.","07641","00","00","OD","Five Mile","PA","Schorman 32","Allegany","Bradford","4","","1","6","2010"
"31029257250000","Erie","Alden Aurora Gas Company, Inc.","25725","00","00","GD","Alden-Lancaster","AC","Voss 1","Alden","Medina","12","1028","0","0","2010"
"31009224480000","Cattaraugus","Empire Energy E & P, LLC","22448","00","00","GD","Lakeshore","AC","Hostetler 2","Leon","Medina","12","777","0","","2010"
"31013180080000","Chautauqua","PPP Future Development Inc.","18008","00","00","GD","Lakeshore","AC","Hammond 1","Ellery","Medina","12","1683","0","0","2010"
"31009634820000","Cattaraugus","Carls, Kevin D","63482","00","00","OD","Four Mile","PA","5256  6 (Carey Hollow)","Allegany","Bradford Third","12","","0","20","2010"
"31013180850000","Chautauqua","Stedman Energy, Inc.","18085","00","00","GD","Lakeshore","AC","Crosby1","Harmony","Medina","3","145","10","0","2010"
"31013247790000","Chautauqua","PPP Future Development Inc.","24779","00","00","GD","Lakeshore","AC","Cross 8","Hanover","Medina","12","1141","225","0","2010"
"31013224770000","Chautauqua","Greenridge Oil Company LLC","22477","00","00","OD","Busti","IN","Connelly 3g","Busti","Glade","12","0","0","0","2010"
"31003679450000","Allegany","Sturdevant, Walter B.","67945","00","00","OD","Richburg","UL","J&R Oil Lot 8 98","Bolivar","Richburg","0","0","0","0","2010"
"31013118850000","Chautauqua","Empire Energy E & P, LLC","11885","00","00","GD","Lakeshore","AC","Wise 408","Stockton","Medina","12","1974","0","","2010"
"31013250450000","Chautauqua","PPP Future Development Inc.","25045","00","00","GD","Lakeshore","AC","Scott 1","Chautauqua","Medina","12","1817","0","0","2010"
"31013145980000","Chautauqua","Empire Energy E & P, LLC","14598","00","00","GD","Lakeshore","AC","Endress 602","Westfield","Medina","11","1360","0","","2010"
"31121208720000","Wyoming","United States Gypsum Company","20872","00","00","GD","Danley Corners","AC","Martinez, D. 1","Bennington","Medina","12","296","0","0","2010"
"31009235340000","Cattaraugus","Stedman Energy, Inc.","23534","00","00","GW","Bixby Hill","IN","Bixby Hill 1","Freedom","Theresa","12","0","40","0","2010"
"31013240840000","Chautauqua","PPP Future Development Inc.","24084","00","00","OD","Lakeshore","IN","Babyak 1-451","Busti","Medina","12","8006","65","0","2010"
"31013245100000","Chautauqua","Empire Energy E & P, LLC","24510","00","00","GD","Lakeshore","AC","S & M Harrington #1","Chautauqua","Medina","12","852","80","","2010"
"31009192180000","Cattaraugus","Cal Ban Corp.","19218","00","00","OD","Five Mile","NR","Cal Ban 47","Allegany","Bradford","12","11","1","11","2010"
"31009242460000","Cattaraugus","Pennhills Resources, LLC","24246","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-121","Allegany","Bradford & Chipmunk","12","602","578","259","2010"
"31013187350000","Chautauqua","PPP Future Development Inc.","18735","00","00","GD","Lakeshore","AC","Lenczyk 1","Ellington","Medina","12","1723","0","","2010"
"31013185660000","Chautauqua","Empire Energy E & P, LLC","18566","00","00","GD","Lakeshore","AC","Erwin 654","Ripley","Medina","12","574","63","0","2010"
"31029252560000","Erie","PPP Future Development Inc.","25256","00","00","GD","Lakeshore","AC","Penfold 1","Evans","Medina","12","2363","0","0","2010"
"31029163010000","Erie","Stedman Energy, Inc.","16301","00","00","GD","Brant-Eden","AC","Lindsay 1","Eden","Grimsby","2","242","0","0","2010"
"31029187550000","Erie","Akron Central School District","18755","00","00","GD","Akron","AC","Acsd Fee 3","Newstead","Medina","12","737","0","0","2010"
"31009609830000","Cattaraugus","McCracken Oil & Gas, LLC","60983","00","00","OD","Chipmunk","AC","B/R 37","Allegany","Bradford & Chipmunk","11","","4","39","2010"
"31101002990000","Steuben","Lewis, Larry, Lyle and Paul","00299","00","00","GD","Northwest Harrison","IN","Lewis 1","West Union","Oriskany","0","0","0","0","2010"
"31003659770000","Allegany","Collins, Dave","65977","00","00","OD","Richburg","IN","Emerson 2","Scio","Richburg","0","0","0","0","2010"
"31003604790000","Allegany","Witter, Terry L.","60479","00","00","OD","Richburg","IN","Stillman 33","Bolivar","Richburg","12","","13","6","2010"
"31029251460000","Erie","PPP Future Development Inc.","25146","00","00","GD","North Collins","AC","Ptak 1","North Collins","Medina","12","7113","120","0","2010"
"31009664100000","Cattaraugus","M. J. McCaffery Oil Co.","66410","00","00","OD","Chipmunk","NR","Hill 12","Carrollton","Chipmunk","1","","0","2","2010"
"31029034260000","Erie","Iroquois Gas Corp.","03426","00","00","GD","Lakeview","PA","Hammond E and Maggie 1","Brant","Medina","0","0","0","0","2010"
"31009255700000","Cattaraugus","Vertical Energy, Inc.","25570","00","00","OD","Olean","AC","Willoughby 12","Olean","Chipmunk, Bradford 2nd & 3rd","12","","14","15","2010"
"31013117590000","Chautauqua","Curtis & Son Oil, Inc.","11759","00","00","OD","Busti","AC","L. Crandall 23","Busti","Glade","1","","0","4","2010"
"31037205920000","Genesee","Lenape Resources LLC","20592","00","00","GD","Bethany","AC","Steele & Neubarth 1 (6817)","Bethany","Medina","12","1832","30","0","2010"
"31013014800000","Chautauqua","Harp, Stephen J.","01480","00","00","GD","Lakeshore","AC","Sullivan J.A. 2 2027-I","Pomfret","Medina","0","0","0","0","2010"
"31013233790000","Chautauqua","PPP Future Development Inc.","23379","00","00","GD","Lakeshore","AC","Russell J 2","Kiantone","Medina","11","3634","0","0","2010"
"31009255030000","Cattaraugus","PPP Future Development Inc.","25503","00","00","GW","New Field Wildcat","AC","Petri 1","Yorkshire","Theresa","2","490","1475","0","2010"
"31003552130000","Allegany","Helmhold Oil Incorporated","55213","00","00","OD","Fulmer Valley","NR","Roeske Lot 75 36","Wellsville","Fulmer Valley","12","","0","6","2010"
"31015231460000","Chemung","Repsol Oil & Gas USA, LLC","23146","00","00","GW","Cooper Hill","SI","Sekella 1","Van Etten","Black River","12","383366","0","0","2010"
"31029187430000","Erie","Empire Energy E & P, LLC","18743","00","00","GD","Concord","AC","Greenburg 1","Concord","Medina","12","430","0","","2010"
"31013209020000","Chautauqua","Empire Energy E & P, LLC","20902","00","00","GD","Sprague Hill","AC","Bloomquist, A 7327","Poland","Medina","12","1828","0","0","2010"
"31003679390000","Allegany","Sturdevant, Walter B.","67939","00","00","OD","Richburg","UL","J&R Oil Lot 8 81","Bolivar","Richburg","0","0","0","0","2010"
"31099195970000","Seneca","Minard Run Oil Company","19597","00","00","GD","Fayette-Waterloo","AC","Guilfoos 1 (4142)","Varick","Queenston","12","2073","19","0","2010"
"31013240270000","Chautauqua","PPP Future Development Inc.","24027","00","00","GD","Lakeshore","AC","Brennan Farms 2","Hanover","Medina","12","4590","30","0","2010"
"31003675430000","Allegany","Saint John Exploration & Production, Inc.","67543","00","00","OD","Richburg","IN","Big Four 10","Bolivar","Richburg","0","0","0","0","2010"
"31013115040000","Chautauqua","Empire Energy E & P, LLC","11504","00","00","GD","Lakeshore","AC","Austin 350","Arkwright","Medina","12","728","25","","2010"
"31013147780000","Chautauqua","Empire Energy E & P, LLC","14778","00","00","GD","Lakeshore","AC","Baker,JJ 2","Chautauqua","Medina","12","344","70","","2010"
"31009636380000","Cattaraugus","Stephan, Philip D.","63638","00","00","OD","Chipmunk","IN","Pfeiffer 17","Allegany","Bradford & Chipmunk","0","","0","0","2010"
"31009139270000","Cattaraugus","Case Brothers Inc.","13927","00","00","OD","Bradford","AC","Moyer 04","Carrollton","Chipmunk","12","","2","17","2010"
"31029036540000","Erie","Iroquois Gas Corp.","03654","00","00","GD","Orchard Park-Hamburg","PA","Lank T and J 1","Hamburg","Medina","0","0","0","0","2010"
"31029200160000","Erie","Piall, Theresa","20016","00","00","GD","Lakeview","AC","Piall 2","Brant","Medina","12","130","0","0","2010"
"31003176580000","Allegany","The Richardson Petroleum Corporation","17658","00","00","OD","Beech Hill-Independence","AC","16 Heselton","Independence","Fulmer Valley","12","0","3","65","2010"
"31123205700000","Yates","PPP Future Development Inc.","20570","00","00","GD","North Penn Yan","AC","Fulkrod A 1","Benton","Queenston","0","0","0","0","2010"
"31009242400000","Cattaraugus","Pennhills Resources, LLC","24240","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-115","Allegany","Upper Devonian","12","602","577","260","2010"
"31013066710000","Chautauqua","Curtis & Son Oil, Inc.","06671","00","00","OD","Busti","AC","Crandall,Lawrence W 7","Busti","Glade","1","","0","4","2010"
