API_WellNo,Cnty,Well_Type,Well_Status,Producing_name,Producing_formation,Proposed_depth,Surface_Longitude,Surface_Latitude,Bottom_hole_longitude,Bottom_hole_latitude,True_vertical_depth,Measured_depth,GasProd,OilProd,WaterProd,Year
24012181361672,CountyC,Gas,Active,Field2,Formation2,4352,-96.25459881152638,31.16898040708364,-96.25459881152638,31.16898040708364,2417,3280,-3937.7002263199975,1322.5373851642184,304,2005
89418511661948,CountyA,Gas,Active,Field3,Formation2,4478,-90.49285693590085,39.39832123613475,-90.49285693590085,39.39832123613475,2681,4749,-3410.095718165506,1540.7405345581847,27,2010
30087839072036,CountyA,Gas,Active,Field1,Formation1,4927,-92.68006058188595,36.27708053071418,-92.68006058188595,36.27708053071418,1113,3538,-3703.4816524324774,1422.8782908038734,287,2010
28316077141053,CountyA,Oil,Inactive,Field1,Formation2,4684,-94.01341515802963,33.34905614657086,-94.01341515802963,33.34905614657086,1927,2016,-3782.9406952493264,1346.247515537883,354,2005
59875564545465,CountyB,Gas,Inactive,Field3,Formation1,3841,-98.43981359557563,31.392720726633872,-98.43981359557563,31.392720726633872,2016,1443,-3870.8621581783,1239.7915748120283,966,2010
98018998675619,CountyC,Gas,Inactive,Field3,Formation2,3947,-98.44005479663798,37.94025189270296,-98.44005479663798,37.94025189270296,728,3067,-3800.0151195149356,1434.9394523242236,838,2015
70809282135559,CountyC,Gas,Inactive,Field3,Formation2,2381,-99.419163878318,36.200727559285134,-99.419163878318,36.200727559285134,2329,4682,-3901.744552990374,1385.3235951844224,980,2015
17255433455139,CountyB,Oil,Active,Field1,Formation2,1674,-91.33823854225065,35.334610919763215,-91.33823854225065,35.334610919763215,1829,4798,-3538.716471109915,1367.8440830378024,543,2000
43189408480852,CountyB,Oil,Active,Field2,Formation2,2008,-93.9888498825679,38.938925830509575,-93.9888498825679,38.938925830509575,2432,4627,-3669.704777045131,1469.2695502981196,677,2010
99872404835535,CountyA,Oil,Active,Field1,Formation1,2226,-92.91927422203955,37.885972112245305,-92.91927422203955,37.885972112245305,618,1110,-3603.292933162962,1435.3470383637045,403,2010
95579814974155,CountyA,Oil,Inactive,Field3,Formation2,2635,-99.79415505704198,31.516748797327512,-99.79415505704198,31.516748797327512,2871,3534,-3951.7613233627603,1238.4362246737933,135,2005
72015706741477,CountyA,Gas,Inactive,Field2,Formation1,1280,-90.30090147838006,33.11722067795548,-90.30090147838006,33.11722067795548,1420,1088,-3500.985502720534,1346.6282733518253,67,2015
29417611666532,CountyA,Gas,Inactive,Field3,Formation1,3963,-91.67557359199579,32.484891398144654,-91.67557359199579,32.484891398144654,2706,4390,-3578.5686244021954,1285.3037093101211,153,2020
34310857988734,CountyA,Gas,Inactive,Field1,Formation2,2280,-97.87660889321724,37.43946292572677,-97.87660889321724,37.43946292572677,2786,2941,-3896.960101055838,1441.967744745948,462,2000
